ID,Nome,FuncaoPT,FuncaoFR,FuncaoEN
20,A101,Serviços,Bureaus,Offices
21,A102,Serviços,Bureaus,Offices
22,A103,Serviços,Bureaus,Offices
23,A104,Serviços,Bureaus,Offices
24,A105,Serviços,Bureaus,Offices
25,A106,Serviços,Bureaus,Offices
26,A107,Serviços,Bureaus,Offices
6,A109,Secretaria dos Serviços Académicos,Bureau d'étudiants,Students' Secretariat
27,A112,Serviços,Bureaus,Offices
28,A114,Serviços,Bureaus,Offices
29,A115,Serviços,Bureaus,Offices
30,A125,Serviços,Bureaus,Offices
31,A126,Serviços,Bureaus,Offices
32,A141,Auditório Professor Pacheco de Amorim,Auditorium,Auditorium
33,A155,Arrumos,Stockage,Storage
34,A207,Serviços,Bureaus,Offices
35,A208,Serviços,Bureaus,Offices
36,A209,Serviços,Bureaus,Offices
37,A211,Centro de Informática e Sistemas (CIS),Centre informatique,Computer Center
14,A212,Centro de Informática e Sistemas (CIS),Centre informatique,Computer Center
38,A216,Centro de Informática e Sistemas (CIS),Centre informatique,Computer Center
39,A248,Gabinete de Recursos Audiovisuais (GRAV),GRAV,GRAV
55,B116,Erasmus,Erasmus,Erasmus
57,B121,Auditório,Auditorium,Auditorium
62,B131,Sala de aulas,Salle de Classe,Classroom
64,B133,Sala de aulas,Salle de Classe,Classroom
17,B141,Centro de Línguas do IPT,Centre de langues,Language Center
16,B142,Reprografia,Salle de photocopieur,Photocopy machine room
19,B143,Loja do IPT,Magasin du IPT,IPT's store
68,B151,Secretariado Unidades Departamentais,Secrétariat,Secretariat
5,B250,Tesouraria (IPT),Trésorerie (IPT),Treasure house (IPT)
8,Biblioteca,Biblioteca,Bibliothèque,Library
303,G174A,Laboratório de Pintura e Escultura,Laboratoire,Laboratory
308,G179A,Casa de Banho,Toilettes,WC
320,G190A,Estúdio,Photographie Laboratoire,Photo Laboratory
18,GAPE,Gabinete de Apoio ao Estudante,Bureau de support aux étudiants,Student Support Office
333,H171,ARTEC,ARTEC,ARTEC
143,I173,Laboratório Vida Ativa,VITA Lab,VITA Laboratory
1,I215,Secretariados Licenciaturas + TeSPs (ESTT),Secrétaire d'Degrees (ESTT),Bachelor's Degree Secretary (ESTT)
355,J132,Armazém,Entrepôt,Warehouse
367,J176A,Armazém,Entrepôt,Warehouse
368,J176B,Armazém,Entrepôt,Warehouse
179,J202,Secretariado Unidades Departamentais,Secrétariat,Secretariat
401,L181,Armazém,Entrepôt,Warehouse
403,L202,Secretariado Lab.IPT,Secrétariat du Lab.IPT,Lab.IPT Secretariat
416,L215,Sala de Reuniões,Salle de réunion,Meeting room
201,O106,Auditório Dr. Júlio Dias das Neves,Auditorium,Auditorium
202,O106-piso2,Auditório Dr. Júlio Dias das Neves,Auditorium,Auditorium
3,O218,Secretariados dos cursos (ESGT),Secrétaire d'Degrees (ESGT),Bachelor's Degree Secretary (ESGT)
10,Refeitório,Refeitório,Cantine ,Canteen
13,SAS-IPT,Serviços de Ação Social do IPT,Services sociales,IPT Social Services
11,Snack-Bar,Snack-Bar,Snack-Bar,Snack-Bar
235,Arrumos,Arrumos (Edifício Principal),Stockage,Storage
238,Auditório,Auditório,Auditoire,Auditorium
9,Biblioteca,Biblioteca,Bibliothèque,Library
243,GAP,GAP,GAP,GAP
251,Receção,Receção,Réception,Reception
12,Refeitório,Refeitório + Snack-bar,Cantine  + Snack-bar,Canteen + Snack-bar
253,Sala 1,Salas de Aula,Salles de Classe,Classrooms
254,Sala 2,Salas de Aula,Salles de Classe,Classrooms
255,Sala 3,Salas de Aula,Salles de Classe,Classrooms
258,Sala de Reuniões,Sala de Reuniões,Salle de conférence,Meeting Room
260,Sala Inf 1,Laboratório Informática,Laboratoire Informatique,Computing Laboratory
